"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.881190000E-1,-2.380050659E-2,1.670675812E0,9.639055481E0
7.980510000E-1,-1.062789917E-2,1.744023285E0,9.507479095E0
8.079840000E-1,3.951782227E-2,1.801803131E0,9.403744812E0
8.179170000E-1,4.460723877E-2,1.834135895E0,9.376052399E0
8.278490000E-1,3.772155762E-2,1.882485352E0,9.354197845E0
8.377820000E-1,2.170486450E-2,1.945055237E0,9.341324615E0
8.477140000E-1,1.077758789E-2,1.991907806E0,9.362131348E0
8.576470000E-1,6.586303711E-3,2.056573334E0,9.378746796E0
8.675790000E-1,8.981323242E-4,2.078577576E0,9.345366211E0
8.775120000E-1,-1.227447510E-2,2.029180298E0,9.301507416E0
8.874450000E-1,-6.286926270E-3,2.006128235E0,9.233997803E0
8.973770000E-1,9.086105347E-2,1.947001190E0,9.245972900E0
9.073100000E-1,1.317260742E-1,2.018402710E0,9.311386871E0
9.172420000E-1,1.341210938E-1,2.048190765E0,9.228010254E0
9.271750000E-1,1.290316772E-1,2.018253021E0,9.210346985E0
9.371070000E-1,1.633103943E-1,2.057920532E0,9.189989319E0
9.470400000E-1,1.899549866E-1,2.086660767E0,9.217681732E0
9.569730000E-1,1.514849854E-1,2.114652557E0,9.268875275E0
9.669050000E-1,8.981323242E-2,2.091301117E0,9.306297455E0
9.768380000E-1,5.433700562E-2,2.055375824E0,9.335486755E0
9.867700000E-1,6.092330933E-2,2.040556641E0,9.347162476E0
9.967030000E-1,2.395019531E-2,2.015408936E0,9.339827728E0
1.006635000E0,-7.634124756E-3,2.023492126E0,9.373208313E0
1.016568000E0,-5.867797852E-2,1.998793488E0,9.387877808E0
1.026501000E0,-1.308279419E-1,2.014211426E0,9.347761230E0
1.036433000E0,-8.113128662E-2,2.075583801E0,9.389823761E0
1.046366000E0,-9.460327148E-2,2.074535980E0,9.395811310E0
1.056298000E0,-6.466552734E-2,2.053280182E0,9.462273102E0
1.066231000E0,2.395019531E-3,1.932331696E0,9.557325439E0
1.076163000E0,3.951782227E-2,1.715732117E0,9.688303070E0
1.086096000E0,-2.257305908E-1,1.966610413E0,9.549691315E0
1.096029000E0,-1.692979431E-1,2.525548096E0,9.362879791E0
1.105961000E0,-1.053808594E-1,2.445165253E0,9.525142365E0
1.115894000E0,-2.245330811E-2,2.153721313E0,9.563911743E0
1.125826000E0,3.652404785E-2,2.056273956E0,9.481732635E0
1.135759000E0,1.332229614E-2,2.147883453E0,9.481582947E0
1.145691000E0,9.475296021E-2,2.262844391E0,9.608818359E0
1.155624000E0,1.725910950E-1,2.176024933E0,9.693691864E0
1.165556000E0,2.287243652E-1,1.996248779E0,9.643246765E0
1.175489000E0,3.549119568E-1,1.945504303E0,9.491911469E0
