"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.439890000E-1,2.328173956E-3,9.944543242E-2,-2.807710506E-2
8.539220000E-1,-1.263897866E-3,8.759303391E-2,-4.232182354E-2
8.638540000E-1,-3.184133908E-3,6.159342080E-2,-4.891610518E-2
8.737870000E-1,-1.440669503E-2,3.696157783E-2,-5.673567951E-2
8.837190000E-1,-3.194238991E-2,2.447374538E-2,-6.240320206E-2
8.936520000E-1,-6.126991659E-2,7.118723355E-3,-6.672444195E-2
9.035840000E-1,-7.215428352E-2,-1.331412978E-2,-6.087477505E-2
9.135170000E-1,-7.318626344E-2,-6.810956635E-3,-5.260379240E-2
9.234500000E-1,-5.994597822E-2,-1.174126379E-2,-4.064162821E-2
9.333820000E-1,-4.526104033E-2,-7.994196378E-3,-1.514851861E-2
9.433150000E-1,-3.334216401E-2,6.765006110E-4,8.212102577E-3
9.532470000E-1,-3.332245722E-2,1.981966197E-4,3.073871695E-2
9.631800000E-1,-4.613839835E-2,3.571110778E-3,5.189358443E-2
9.731120000E-1,-7.145068049E-2,4.206273705E-3,7.339594513E-2
9.830450000E-1,-8.816207200E-2,8.646774106E-3,9.305726737E-2
9.929780000E-1,-1.041452959E-1,2.033325657E-2,1.009325013E-1
1.002910000E0,-1.142157167E-1,2.484790236E-2,1.057850495E-1
1.012843000E0,-1.152048185E-1,4.079544544E-2,9.943474084E-2
1.022775000E0,-9.836339951E-2,5.490464717E-2,1.005589217E-1
1.032708000E0,-7.234857231E-2,6.411466002E-2,1.009807661E-1
1.042640000E0,-5.066192150E-2,8.690279722E-2,9.229993075E-2
1.052573000E0,-3.683931753E-2,9.960793704E-2,7.193074375E-2
1.062506000E0,-4.171790183E-2,7.031420618E-2,4.595811665E-2
1.072438000E0,-6.429511309E-2,1.568958163E-3,-1.665519923E-2
1.082371000E0,-8.094821125E-2,1.578203961E-2,-9.055656381E-3
1.092303000E0,-8.872410655E-2,6.546997465E-3,6.488148589E-3
1.102236000E0,-7.554768771E-2,-1.316855662E-3,8.094440214E-3
1.112168000E0,-6.663861126E-2,-2.955328673E-2,-1.108804252E-2
1.122101000E0,-5.978306383E-2,-2.613672428E-2,-3.523527831E-2
1.132033000E0,-4.235213995E-2,-4.884469882E-2,-5.505292490E-2
1.141966000E0,-6.363282446E-4,-1.106802896E-1,-6.673014164E-2
1.151899000E0,4.890512303E-2,-1.755093634E-1,-7.183408737E-2
1.161831000E0,6.654474884E-2,-2.611121535E-1,-7.160383463E-2
1.171764000E0,3.325816616E-2,-2.917324007E-1,-8.211372793E-2
1.181696000E0,-5.675898865E-3,-3.058402538E-1,-9.752389789E-2
1.191629000E0,-2.503415197E-2,-2.922674716E-1,-9.422051162E-2
1.201561000E0,-5.423714407E-3,-2.954475880E-1,-4.269022867E-2
1.211494000E0,3.324298561E-2,-2.622462213E-1,2.022189461E-2
1.221427000E0,4.581301287E-2,-2.145774662E-1,7.999943197E-2
1.231359000E0,2.866997756E-2,-2.031684816E-1,1.417408437E-1
1.241292000E0,1.129891910E-2,-1.785909832E-1,1.748575866E-1
1.251224000E0,-2.000907203E-3,-1.003433242E-1,1.635426134E-1
1.261157000E0,2.243669005E-3,-2.700890601E-2,1.304597110E-1
1.271089000E0,2.602729388E-2,3.312248737E-3,8.283015341E-2
1.281022000E0,7.107284665E-2,3.852402419E-2,4.627418146E-2
1.290955000E0,1.451159120E-1,8.127281815E-2,1.410079747E-2
1.300887000E0,2.311948389E-1,1.233515516E-1,-1.431002934E-2
1.310820000E0,3.003621697E-1,1.913873255E-1,-1.809677668E-2
1.320752000E0,3.321104050E-1,2.959026396E-1,-5.749217235E-3
1.330685000E0,3.210217953E-1,4.503116608E-1,1.565247774E-2
1.340617000E0,2.867861986E-1,5.623471141E-1,3.752843291E-2
1.350550000E0,2.674055696E-1,6.119431257E-1,7.449097931E-2
1.360483000E0,2.725755870E-1,5.956171155E-1,1.134926304E-1
1.370415000E0,3.080659509E-1,5.442172885E-1,1.424885988E-1
1.380348000E0,3.797203898E-1,5.068219900E-1,1.398944557E-1
